legal_entity_id,period_month,pos_candidate_rub,proposed_class,so_t
LE-IP-YANINA,2024-01,185630.0,ACQ_POS_CANDIDATE,N
LE-IP-YANINA,2024-02,1186180.0,ACQ_POS_CANDIDATE,N
LE-IP-YANINA,2024-03,1356222.55,ACQ_POS_CANDIDATE,N
LE-IP-YANINA,2024-04,1237048.09,ACQ_POS_CANDIDATE,N
LE-IP-YANINA,2024-05,3026697.15,ACQ_POS_CANDIDATE,N
LE-IP-YANINA,2024-06,1881360.05,ACQ_POS_CANDIDATE,N
LE-IP-YANINA,2024-07,666558.25,ACQ_POS_CANDIDATE,N
LE-IP-YANINA,2024-08,462756.05,ACQ_POS_CANDIDATE,N
LE-IP-YANINA,2024-09,621660.0,ACQ_POS_CANDIDATE,N
LE-IP-YANINA,2024-10,1416650.0,ACQ_POS_CANDIDATE,N
LE-IP-YANINA,2024-11,1313478.8,ACQ_POS_CANDIDATE,N
LE-IP-YANINA,2024-12,2335762.75,ACQ_POS_CANDIDATE,N
LE-IP-YANINA,2025-03,625900.0,ACQ_POS_CANDIDATE,N
LE-IP-YANINA,2025-04,4876353.55,ACQ_POS_CANDIDATE,N
LE-IP-YANINA,2025-05,1405463.35,ACQ_POS_CANDIDATE,N
LE-IP-YANINA,2025-06,2132497.9,ACQ_POS_CANDIDATE,N
LE-IP-YANINA,2025-08,366800.0,ACQ_POS_CANDIDATE,N
LE-IP-YANINA,2025-09,990887.5,ACQ_POS_CANDIDATE,N
LE-IP-YANINA,2025-10,3966620.0,ACQ_POS_CANDIDATE,N
LE-IP-YANINA,2025-11,6821658.25,ACQ_POS_CANDIDATE,N
LE-IP-YANINA,2025-12,6182602.55,ACQ_POS_CANDIDATE,N
LE-IP-YANINA,2026-01,825468.64,ACQ_POS_CANDIDATE,N
LE-IP-YANINA,2026-02,2556688.17,ACQ_POS_CANDIDATE,N
LE-IP-YANINA,2026-03,4549174.89,ACQ_POS_CANDIDATE,N
LE-IP-YANINA,2026-04,4116399.15,ACQ_POS_CANDIDATE,N
LE-IP-YANINA,2026-05,1757802.09,ACQ_POS_CANDIDATE,N
LE-IP-YANINA,2026-06,5392809.08,ACQ_POS_CANDIDATE,N
