legal_entity_id,period_month,acq_im_rub
LE-IP-YANINA,2024-01,527008.05
LE-IP-YANINA,2024-02,1270753.37
LE-IP-YANINA,2024-03,2620309.53
LE-IP-YANINA,2024-04,1730384.42
LE-IP-YANINA,2024-05,1644971.03
LE-IP-YANINA,2024-06,2933668.7
LE-IP-YANINA,2024-07,1702041.42
LE-IP-YANINA,2024-08,1999329.53
LE-IP-YANINA,2024-09,2460258.95
LE-IP-YANINA,2024-10,3996259.03
LE-IP-YANINA,2024-11,2575800.28
LE-IP-YANINA,2024-12,3324331.65
LE-IP-YANINA,2025-01,1197045.18
LE-IP-YANINA,2025-02,1255532.52
LE-IP-YANINA,2025-03,1172215.47
LE-IP-YANINA,2025-04,655148.69
LE-IP-YANINA,2025-05,1282099.67
LE-IP-YANINA,2025-06,1242165.52
LE-IP-YANINA,2025-07,1279026.4
LE-IP-YANINA,2025-08,773638.19
LE-IP-YANINA,2025-09,1401833.31
LE-IP-YANINA,2025-10,920964.43
LE-IP-YANINA,2025-11,5080598.01
LE-IP-YANINA,2025-12,1566627.8
LE-IP-YANINA,2026-01,975128.91
LE-IP-YANINA,2026-02,107078.65
LE-IP-YANINA,2026-03,672194.72
LE-IP-YANINA,2026-04,2039914.67
LE-IP-YANINA,2026-05,365284.48
LE-IP-YANINA,2026-06,1675825.17
LE-OOO-DEKOR,2024-01,2078825.0
LE-OOO-DEKOR,2024-03,642880.0
LE-OOO-DEKOR,2024-04,1028510.0
LE-OOO-DEKOR,2024-05,946738.8
LE-OOO-DEKOR,2024-06,943642.0
LE-OOO-DEKOR,2024-07,1287230.0
LE-OOO-DEKOR,2024-09,746368.0
LE-OOO-DEKOR,2024-10,299782.0
LE-OOO-DEKOR,2024-11,720545.0
LE-OOO-DEKOR,2024-12,2069564.0
LE-OOO-DEKOR,2025-01,877688.0
LE-OOO-DEKOR,2025-02,627102.0
LE-OOO-DEKOR,2025-03,1455594.0
LE-OOO-DEKOR,2025-04,1979894.0
LE-OOO-DEKOR,2025-05,860930.0
LE-OOO-DEKOR,2025-06,913262.0
LE-OOO-DEKOR,2025-07,862792.0
LE-OOO-DEKOR,2025-09,1256360.0
LE-OOO-DEKOR,2025-10,851914.0
LE-OOO-DEKOR,2025-11,1332653.0
LE-OOO-DEKOR,2025-12,2887276.0
