edge_id,counterparty_id,supplier_name,inn,bank_payment_id,payment_date,period_month,amount,purpose,source_bank
SE-b15c5a42d29b11a1,CP-d861a64dd72a6006,"ООО ""ПРИКЛАДНЫЕ МАТЕРИАЛЫ""",5029210000,9627d7a7296cdcbe,2024-02-02,2024-02,24490.0,"Оплата по сч. 267 от 02.02.2024 за клеевую. В том числе НДС 20%, 4081.67 руб.",ALFA
SE-ee7253f0a3a9de9e,CP-d861a64dd72a6006,"ООО ""ПРИКЛАДНЫЕ МАТЕРИАЛЫ""",5029210000,75b110902fedc8c7,2024-10-16,2024-10,14851.0,"Оплата по сч. 2143 от 16.10.2024 за ткань. В том числе НДС 20%, 2475.17 руб.",ALFA
SE-c5e051ce47b240d5,CP-d861a64dd72a6006,"ООО ""ПРИКЛАДНЫЕ МАТЕРИАЛЫ""",5029210000,8b5d3c427af2b4a3,2025-12-15,2025-12,82440.0,"Оплата по сч. 2241 от 15.12.2024 за ткань. В том числе НДС 20%, 13740.00 руб.",ALFA
SE-c047f6f0c74a3437,CP-d861a64dd72a6006,"ООО ""ПРИКЛАДНЫЕ МАТЕРИАЛЫ""",5029210000,0366f20a0b3fa7ef,2026-05-25,2026-05,2932.0,"Доплата по сч. 703 от 22.05.2026 и оплата по сч. 704 от 15.05.2026 за ленты. В том числе НДС 22%, 528.72 руб.",ALFA
SE-a0d5cd1cd36ac954,CP-d861a64dd72a6006,"ООО ""ПРИКЛАДНЫЕ МАТЕРИАЛЫ""",5029210000,b3cc02c609792405,2024-02-16,2024-02,23294.0,"Оплата по сч.363 от 15.02.2024 за дублирин В т. ч. НДС 20% - 3 882,33 руб.",VTB
SE-159672cdcbe80490,CP-d861a64dd72a6006,"ООО ""ПРИКЛАДНЫЕ МАТЕРИАЛЫ""",5029210000,faa4d22175646520,2024-05-22,2024-05,23931.0,"Оплата по сч.1071 от 22.05.2024 за ткань В т.ч. НДС 20% - 3 988,50 руб.",VTB
SE-e03f00dc859f326c,CP-d861a64dd72a6006,"ООО ""ПРИКЛАДНЫЕ МАТЕРИАЛЫ""",5029210000,931ef071d83174a0,2024-10-14,2024-10,67596.0,"Оплата по сч.2122 от 14.10.2024 за ткань В т.ч. НДС 20% - 11 266,00 руб.",VTB
SE-6b9963443d60fbcb,CP-d861a64dd72a6006,"ООО ""ПРИКЛАДНЫЕ МАТЕРИАЛЫ""",5029210000,b5edc051f8dabb35,2024-11-27,2024-11,40105.0,"Оплата по сч.2424 от 27.11.2024 за ткань В т.ч. НДС 20% - 6 684,17 руб.",VTB
SE-8f09c052444bf698,CP-d861a64dd72a6006,"ООО ""ПРИКЛАДНЫЕ МАТЕРИАЛЫ""",5029210000,57e04aa85aca5d14,2025-04-10,2025-04,22562.0,"Оплата по сч.675 от 09.04.2025 за ткань В том числе НДС (20%) - 3760,34 руб.",VTB
SE-9b7d109afe690277,CP-d861a64dd72a6006,"ООО ""ПРИКЛАДНЫЕ МАТЕРИАЛЫ""",5029210000,7d623be334ee4856,2025-06-11,2025-06,26838.0,"Оплата по сч.1071 от 11.06.2025 за ткань В том числе НДС (20%) - 4473,01 руб.",VTB
SE-31ca519a63c29d94,CP-d861a64dd72a6006,"ООО ""ПРИКЛАДНЫЕ МАТЕРИАЛЫ""",5029210000,1b79912d80544508,2026-03-25,2026-03,43600.0,"Оплата по сч.ЦБ-1299 от 24.03.2026 за ткань В том числе НДС (22%) - 7862,28 руб.",VTB
SE-6139529a9308647e,CP-d861a64dd72a6006,"ООО ""ПРИКЛАДНЫЕ МАТЕРИАЛЫ""",5029210000,d5a9f373d3113bfa,2026-04-08,2026-04,13367.0,"Оплата по сч.529от 08.04.2026 за ткань В т.ч. НДС 22% - 2 410,44 руб.",VTB
SE-54037f9576ff3d76,CP-d861a64dd72a6006,"ООО ""ПРИКЛАДНЫЕ МАТЕРИАЛЫ""",5029210000,e0d8b0e70a73f9c5,2026-05-13,2026-05,54201.25,"Оплата по сч.692 от 12.05.2026 за ткань В том числе НДС (22%) - 9773,99 руб.",VTB
SE-dcb7e93d8f8de703,CP-7ad046b947378bc3,"ООО ""Текстиль Люкс"" (Ткани Лавка)",9715275948,d724b9a64cfe538b,2024-02-13,2024-02,36738.1,Оплата по сч. 2121 от 13.02.2024 г. за ткани. НДС не облагается,ALFA
SE-67dd4369bb706259,CP-7ad046b947378bc3,"ООО ""Текстиль Люкс"" (Ткани Лавка)",9715275948,07171fbd4442ef3b,2024-10-23,2024-10,70907.62,Оплата по сч. 16070 от 23.10.2024 за ткани НДС не облагается,VTB
SE-7d46d8c26c16524a,CP-7ad046b947378bc3,"ООО ""Текстиль Люкс"" (Ткани Лавка)",9715275948,aa92c6b1d32484d4,2024-10-23,2024-10,94764.38,Оплата по сч. 16069 от 23.10.2024 за ткани НДС не облагается,VTB
SE-53b24555e1cb9052,CP-117d0176b45c9a5c,"ООО ""АРТКО 1993""",7734035017,c48c5e69a4b95847,2024-02-13,2024-02,15168.0,Оплата по сч. ЦБ-45 от 09.02.2024 за молнии. НДС не облагается,ALFA
SE-212811ee1af27c4d,CP-117d0176b45c9a5c,"ООО ""АРТКО 1993""",7734035017,500575500541264e,2024-02-16,2024-02,13635.0,Оплата по сч. ЦБ-53 от 15.02.2024 за молнии. НДС не облагается,ALFA
SE-3a96f665bb21c523,CP-7abcbdd294e8a93c,"ООО ""ВЕЛЛТЕКС МОСКВА""",7718881358,18b0e8991f786e6c,2024-02-16,2024-02,938.0,"Оплата по сч. МО18501 от 15.02.2024 за косточки для корсета. В том числе НДС 20%, 156.33 руб.",ALFA
SE-2ec7dd57b53c048f,CP-7abcbdd294e8a93c,"ООО ""ВЕЛЛТЕКС МОСКВА""",7718881358,45a82e49dcfc58ad,2024-02-21,2024-02,500.0,"Оплата по сч. МО20620 от 20.02.2024 за иглы. В том числе НДС 20%, 83.33 руб.",ALFA
SE-62a16d3442201757,CP-7abcbdd294e8a93c,"ООО ""ВЕЛЛТЕКС МОСКВА""",7718881358,0ab02aa54206d8ec,2024-03-04,2024-03,2061.0,"Оплата по сч.  МО25634 от 04 марта 2024 за ленты,. В том числе НДС 20%, 343.50 руб.",ALFA
SE-6c70b379098e0a7c,CP-7abcbdd294e8a93c,"ООО ""ВЕЛЛТЕКС МОСКВА""",7718881358,5a46c2ef66d68077,2024-04-04,2024-04,10900.0,"Оплата по сч. МО38746 от 03.04.2024 г. за пленку В том числе НДС 20%, 1816.67 руб.",ALFA
SE-44f45aa1481e6272,CP-7abcbdd294e8a93c,"ООО ""ВЕЛЛТЕКС МОСКВА""",7718881358,64c75c7b17603d5f,2024-07-23,2024-07,3332.0,"Оплата по сч. МО73770 от 23 июля 2024 г. за пакеты В том числе НДС 20%, 555.34 руб.",ALFA
SE-eea1446625ae9094,CP-7abcbdd294e8a93c,"ООО ""ВЕЛЛТЕКС МОСКВА""",7718881358,df14e2cc394a111c,2024-10-22,2024-10,10073.4,"Оплата по сч. МО94917 от 22.10.2024 г. за нитки. В том числе НДС 20%, 1678.90 руб.",ALFA
SE-bcbfd5e19fe4933e,CP-7abcbdd294e8a93c,"ООО ""ВЕЛЛТЕКС МОСКВА""",7718881358,7d946989afa123ed,2024-12-10,2024-12,11013.24,"Оплата по сч. МО112108 от 10.12.2024 г. за нитки. В том числе НДС 20%, 1835.54 руб.",ALFA
SE-261810e2966d9e03,CP-7abcbdd294e8a93c,"ООО ""ВЕЛЛТЕКС МОСКВА""",7718881358,f80b31b12d527941,2025-02-04,2025-02,6387.9,"Оплата по сч. МО9544 от 03.02.2025 г. за фурнитуру. В том числе НДС 20%, 1064.65 руб.",ALFA
SE-8cff7d79bb92a707,CP-7abcbdd294e8a93c,"ООО ""ВЕЛЛТЕКС МОСКВА""",7718881358,3f1ac388010ec647,2025-03-10,2025-03,6057.8,"Оплата по сч. МО21643 от 10.03.2025 г. за фурнитуру. В том числе НДС 20%, 1009.66 руб.",ALFA
SE-8381850db36dfd82,CP-7abcbdd294e8a93c,"ООО ""ВЕЛЛТЕКС МОСКВА""",7718881358,f28e1c791b431a4e,2025-03-12,2025-03,4736.2,"Оплата по сч. МО22291 от 11.03.2025 г. за фурнитуру. В том числе НДС 20%, 789.37 руб.",ALFA
SE-9da4e335540d3ce0,CP-7abcbdd294e8a93c,"ООО ""ВЕЛЛТЕКС МОСКВА""",7718881358,414f423bc1d18556,2025-03-14,2025-03,2230.23,"Оплата по сч. МО23388 от 14.03.2025 г. за фурнитуру. В том числе НДС 20%, 371.71 руб.",ALFA
SE-aa0c7b2546f36fca,CP-7abcbdd294e8a93c,"ООО ""ВЕЛЛТЕКС МОСКВА""",7718881358,e1f8ed4cc16382f7,2025-12-10,2025-12,7479.75,"Оплата по сч. МО107291 от 09.12.2025 г. за карту цветов с доставкой. В том числе НДС 20%, 1246.63 руб.",ALFA
SE-e400bff7c5ad1462,CP-658a10f8e8ec9db5,"ООО ""ТК ПЕТРОМИКС""",7716818350,275c98a6273e5e7b,2024-02-21,2024-02,16700.0,"Оплата по сч. 1481 от 19.02.2024 г. за дублерин. В том числе НДС 20%, 2783.33 руб.",ALFA
SE-3a259e8ac0449e30,CP-658a10f8e8ec9db5,"ООО ""ТК ПЕТРОМИКС""",7716818350,611f32fe178818f3,2024-03-20,2024-03,7100.0,"Доплата по сч. 1481 от 19.02.2024 г. за дублерин. В том числе НДС 20%, 1183.33 руб.",ALFA
SE-15ff9a028ed32ec0,CP-658a10f8e8ec9db5,"ООО ""ТК ПЕТРОМИКС""",7716818350,a232e18eaa7ad8be,2025-06-25,2025-06,29640.1,"Оплата по сч. 3615от 24.06.2025 г. за ткань пальтовые В т.ч. НДС 20% - 4 940,02 руб.",VTB
