pack,file,bytes,ok
sign_session_pack,live/client_pack/sign_session_pack/00_SIGN_SESSION_15MIN.md,2287,Y
sign_session_pack,live/client_pack/sign_session_pack/01_SIGN_CHECKBOXES.csv,1044,Y
sign_session_pack,live/client_pack/sign_session_pack/02_OWNER_PING_MESSAGES.csv,3125,Y
sign_session_pack,live/client_pack/sign_session_pack/03_SLA_ESCALATION.csv,1290,Y
sign_session_pack,live/client_pack/sign_session_pack/04_DELAY_RISKS.csv,1021,Y
sign_session_pack,live/client_pack/sign_session_pack/05_STAGE2_ENTRY.csv,729,Y
sign_session_pack,live/client_pack/sign_session_pack/06_IM_SOFT_SLICE_SIGN_CARD.csv,831,Y
sign_session_pack,live/client_pack/sign_session_pack/07_SOFT_SLICE_ONEPAGER.md,640,Y
sign_session_pack,live/client_pack/sign_session_pack/README.md,373,Y
execution_wave_a,live/client_pack/execution_wave_a/00_WAVE_A_CHECKLIST.csv,813,Y
execution_wave_a,live/client_pack/execution_wave_a/01_raci_signoff.csv,1348,Y
execution_wave_a,live/client_pack/execution_wave_a/02_im_pos_signoff.csv,1204,Y
execution_wave_a,live/client_pack/execution_wave_a/02_im_pos_slices.csv,1709,Y
execution_wave_a,live/client_pack/execution_wave_a/03_DRAFT_RECOMMENDED_DECISIONS.csv,3233,Y
execution_wave_a,live/client_pack/execution_wave_a/06_zp_fix_checklist.csv,1058,Y
execution_wave_a,live/client_pack/execution_wave_a/07_im_overbank_work_orders.csv,1688,Y
execution_wave_a,live/client_pack/execution_wave_a/08_im_overbank_register_template.csv,427,Y
execution_wave_a,live/client_pack/execution_wave_a/09_file_intake_priority.csv,801,Y
execution_wave_a,live/client_pack/execution_wave_a/10_unlock_dependency_graph.csv,1136,Y
execution_wave_a,live/client_pack/execution_wave_a/11_file_intake_priority_v2.csv,1015,Y
execution_wave_a,live/client_pack/execution_wave_a/12_im_overbank_register_prefill_all.csv,20632,Y
execution_wave_a,live/client_pack/execution_wave_a/12b_prefill_2024-08.csv,3589,Y
execution_wave_a,live/client_pack/execution_wave_a/12b_prefill_2025-01.csv,4860,Y
execution_wave_a,live/client_pack/execution_wave_a/12b_prefill_2025-10.csv,6440,Y
execution_wave_a,live/client_pack/execution_wave_a/12b_prefill_2026-03.csv,6613,Y
execution_wave_a,live/client_pack/execution_wave_a/13_im_overbank_prefill_summary.csv,1058,Y
execution_wave_a,live/client_pack/execution_wave_a/14_md_invoice_top5_bank_lines.csv,4078,Y
execution_wave_a,live/client_pack/execution_wave_a/15_im_acq_focus_corrected.csv,1729,Y
execution_wave_a,live/client_pack/execution_wave_a/16_im_soft_slice_sign_card.csv,831,Y
execution_wave_a,live/client_pack/execution_wave_a/17_zp_p0_fix_runbook.csv,2307,Y
execution_wave_a,live/client_pack/execution_wave_a/im_acquiring_open_months_focus_corrected.csv,1729,Y
execution_wave_b,live/client_pack/execution_wave_b/00_WAVE_B_CHECKLIST.csv,1023,Y
execution_wave_b,live/client_pack/execution_wave_b/01_b2b_call_top3.csv,2733,Y
execution_wave_b,live/client_pack/execution_wave_b/02_b2b_docs_top3.csv,2512,Y
execution_wave_b,live/client_pack/execution_wave_b/03_alias_top5.csv,2313,Y
execution_wave_b,live/client_pack/execution_wave_b/04_md_salon_cost_wo.csv,7673,Y
execution_wave_b,live/client_pack/execution_wave_b/05_bank_dds_work_orders.csv,1148,Y
execution_wave_b,live/client_pack/execution_wave_b/06_tsum_wait_calendar.csv,428,Y
execution_wave_b,live/client_pack/execution_wave_b/07_gate_score_ladder.csv,395,Y
execution_wave_b,live/client_pack/execution_wave_b/08_person_action_cards.csv,1017,Y
execution_wave_b,live/client_pack/execution_wave_b/09_file_intake_priority_v2.csv,1015,Y
execution_wave_b,live/client_pack/execution_wave_b/10_b2b_collect_confirm_worksheet.csv,3544,Y
execution_wave_b,live/client_pack/execution_wave_b/11_alias_top5_evidence_sheet.csv,3450,Y
execution_wave_b,live/client_pack/execution_wave_b/README.md,433,Y
execution_wave_c,live/client_pack/execution_wave_c/00_WAVE_C_CHECKLIST.csv,653,Y
execution_wave_c,live/client_pack/execution_wave_c/01_bank_dds_work_orders.csv,1148,Y
execution_wave_c,live/client_pack/execution_wave_c/02_tsum_wait_calendar.csv,428,Y
execution_wave_c,live/client_pack/execution_wave_c/03_gate_score_ladder.csv,395,Y
execution_wave_c,live/client_pack/execution_wave_c/04_bank_card_dds_map_prefill.csv,27519,Y
execution_wave_c,live/client_pack/execution_wave_c/05_bank_dds_prefill_summary.csv,1065,Y
execution_wave_c,live/client_pack/execution_wave_c/06_bank_dds_policy_draft.csv,549,Y
execution_wave_c,live/client_pack/execution_wave_c/07_tsum_missing_payment_tracker.csv,970,Y
execution_wave_c,live/client_pack/execution_wave_c/08_tsum_do_not_allocate_june_inflows.csv,3612,Y
execution_wave_c,live/client_pack/execution_wave_c/README.md,337,Y
board_artifact,live/client_pack/sign_session_pack/01_SIGN_CHECKBOXES.csv,1044,Y
board_artifact,live/client_pack/sign_session_pack/06_IM_SOFT_SLICE_SIGN_CARD.csv,831,Y
board_artifact,live/client_pack/sign_session_pack/01_SIGN_CHECKBOXES.csv,1044,Y
board_artifact,live/client_pack/execution_wave_b/10_b2b_collect_confirm_worksheet.csv,3544,Y
board_artifact,live/client_pack/execution_wave_b/11_alias_top5_evidence_sheet.csv,3450,Y
board_artifact,live/client_pack/execution_wave_a/17_zp_p0_fix_runbook.csv,2307,Y
board_artifact,live/client_pack/execution_wave_a/12_im_overbank_register_prefill_all.csv,20632,Y
board_artifact,live/client_pack/execution_wave_c/04_bank_card_dds_map_prefill.csv,27519,Y
board_artifact,live/client_pack/execution_wave_b/04_md_salon_cost_wo.csv,7673,Y
board_artifact,live/client_pack/execution_wave_c/07_tsum_missing_payment_tracker.csv,970,Y
board_artifact,live/client_pack/sign_session_pack/01_SIGN_CHECKBOXES.csv,1044,Y
board_artifact,live/marts/draft_recommended_decisions.csv,3233,Y
