bank_payment_id,period_month,payment_date,amount,counterparty_raw,purpose
56f8574ddc801765,2024-01,2024-01-29,36000.0,КАЗНАЧЕЙСТВО РОССИИ,"БИК 017003983 ОТДЕЛЕНИЕ ТУЛА БАНКА РОССИИ//УФК по Тульской области, г.Тула"
1e06fdd03ebf59cc,2024-07,2024-07-10,40200.0,КАЗНАЧЕЙСТВО РОССИИ,"БИК 017003983 ОТДЕЛЕНИЕ ТУЛА БАНКА РОССИИ//УФК по Тульской области, г.Тула"
0b9757804c39de25,2024-10,2024-10-28,147180.0,КАЗНАЧЕЙСТВО РОССИИ,БИК 017003983 ОТДЕЛЕНИЕ ТУЛА БАНКА РОССИИ//УФК по Тульской области
5c779226e11237ff,2025-03,2025-03-02,45600.0,КАЗНАЧЕЙСТВО РОССИИ,единый налоговый платеж (УСН доходы за 4 кв. 24) НДС не облагается.
3d01284ac52b26a3,2025-04,2025-04-05,4834.0,КАЗНАЧЕЙСТВО РОССИИ,БИК 017003983 ОТДЕЛЕНИЕ ТУЛА БАНКА РОССИИ//УФК по Тульской области
97e59dd0bc040df2,2025-07,2025-07-30,42000.0,КАЗНАЧЕЙСТВО РОССИИ,БИК 017003983 ОТДЕЛЕНИЕ ТУЛА БАНКА РОССИИ//УФК по Тульской области
67d44e4ba5bd8469,2025-08,2025-08-28,77410.0,КАЗНАЧЕЙСТВО РОССИИ,БИК 017003983 ОТДЕЛЕНИЕ ТУЛА БАНКА РОССИИ//УФК по Тульской области
faefd3e115db9c88,2025-10,2025-10-09,35500.0,КАЗНАЧЕЙСТВО РОССИИ,БИК 017003983 ОТДЕЛЕНИЕ ТУЛА БАНКА РОССИИ//УФК по Тульской области
7a9f7b38a2912b55,2026-01,2026-01-16,46151.27,КАЗНАЧЕЙСТВО РОССИИ,единый налоговый платеж с учетом переплаты(УСН доходы за 4кв25) НДС не облагается.
dae662a7d4e4a18c,2026-06,2026-06-18,45600.0,КАЗНАЧЕЙСТВО РОССИИ,"единый налоговый платеж (страх.взносы за 1 кв. 2026, аванс УСН за 2 кв. 2026) НДС не облагается."
